Day,TransactionsAVG
0,109.827934
1,113.307144
2,113.277054
3,114.178345
4,114.95588
5,115.65961
6,114.95777
7,114.37335
8,115.740105
9,115.42634
10,115.21418
11,117.75082
12,117.36345
13,117.17389
14,116.77211
15,116.72526
16,117.32518
17,117.05263
18,117.0681
19,117.48905
20,118.026505
21,118.08533
22,117.69134
23,121.172714
24,112.481186
25,117.60267
26,117.5346
27,117.0995
28,117.60261
29,117.89617
30,117.253105
31,116.681564
32,117.09987
33,117.81059
34,117.87957
35,117.500465
36,117.35528
37,119.10911
38,118.87418
39,119.40343
40,119.227394
41,119.51746
42,119.38302
43,118.976456
44,119.161446
45,119.07473
46,119.01263
47,122.42036
48,118.36373
49,120.38302
50,120.15867
51,120.71111
52,118.99635
53,120.38135
54,120.44285
55,120.204216
56,120.46791
57,119.76336
58,119.87215
59,120.30459
60,120.320656
61,120.30699
62,120.03973
63,120.3364
64,120.78832
65,119.53463
66,120.1567
67,120.20171
68,119.739426
69,120.94286
70,120.61442
71,118.53109
72,121.58088
73,119.480675
74,119.987015
75,120.31095
76,120.529
77,119.23438
78,119.44722
79,120.39596
80,119.132484
81,120.44324
82,120.4521
83,119.74536
84,119.783806
85,119.7348
86,119.67218
87,119.564735
88,120.1215
89,119.74966
90,120.4587
91,119.583786
92,120.59047
93,119.8099
94,120.58979
95,119.076996
96,71.10811
97,63.43979
98,64.41295
99,63.93759
100,64.24242
101,64.33092
102,63.652813
103,63.631313
104,62.9847
105,64.52635
106,64.28651
107,63.270317
108,63.16802
109,63.507977
110,63.45666
111,63.44156
112,64.78584
113,63.69505
114,63.283726
115,63.715794
116,63.12279
117,63.3886
118,63.511074
119,63.37535
120,62.44251
121,63.521667
122,64.56248
123,63.779316
124,63.573826
125,63.285576
126,63.48877
127,64.26484
128,63.879223
129,62.901222
130,63.630352
131,63.92566
132,64.45172
133,65.0353
134,64.7556
135,63.357754
136,65.11233
137,64.18999
138,63.84155
139,65.27976
140,64.03199
141,63.37003
142,64.34911
143,63.0134
144,107.69593
145,119.45754
146,120.293724
147,119.916176
148,120.67482
149,120.227715
